Z1,1	90560,43512
Z1,2	129630,63015
Z1,3	132255,65067
Z1,4	102417,50593
Z1,5	93221,48199
Z1,6	1841,837
Z2,1	20310,12257
Z2,2	32768,19322
Z2,3	32146,19402
Z2,4	24720,14816
Z2,5	24998,14658
Z2,6	150,76
Z3,1	17874,11500
Z3,2	26779,17971
Z3,3	26984,18021
Z3,4	20382,13494
Z3,5	19214,12899
Z3,6	30,25
Z1,none	24950,12081
Z2,none	5512,3430
Z3,none	4658,3179
none,1	6035,3074
none,2	7944,4285
none,3	8425,4411
none,4	6202,3451
none,5	6117,3329
none,6	110,35
none,none	10,1
geografine_zona none:16121
sav_diena none:16254
siuntu_skaicius none:16235
klientu_skaicius none:16091
